latitude,longitude,hour_of_day,nearby_incidents,nearby_safe_zones,lighting_density,police_proximity,crowd_density,cctv_coverage,response_speed,safety_score
13.0436,80.3155,18,2,4,85.1,62.0,74.1,87.9,83.0,96.0
13.1877,80.3029,7,1,5,68.3,64.8,73.3,87.6,87.8,98.0
13.133,80.2647,6,3,2,85.5,81.7,57.7,51.0,96.3,72.7
13.0997,80.3412,15,1,4,70.8,64.8,57.9,52.0,79.5,98.0
12.989,80.1901,18,1,3,69.7,89.6,89.7,61.5,92.0,92.4
12.989,80.1719,5,4,3,58.0,81.3,89.7,61.5,87.1,55.9
12.9645,80.3208,19,3,5,57.8,62.0,93.0,48.0,83.0,71.9
13.1665,80.2378,20,4,5,91.7,89.8,66.5,79.0,98.0,79.0
13.1003,80.3194,10,0,4,71.3,62.0,57.9,52.0,83.0,98.0
13.127,80.3286,4,4,2,59.2,62.7,57.7,51.0,81.0,34.1
12.9551,80.1625,15,4,5,48.1,76.6,93.0,48.0,84.7,61.4
13.1925,80.3267,6,1,5,67.2,62.7,73.3,87.6,81.0,98.0
13.1581,80.2397,4,4,4,87.9,89.8,63.5,71.6,98.0,58.8
13.0031,80.2521,10,3,2,80.7,86.1,87.3,69.3,97.4,71.9
12.9955,80.2753,14,0,2,73.9,72.2,87.3,69.3,92.6,98.0
12.9959,80.3353,2,3,2,64.1,64.8,87.3,69.3,79.5,44.4
13.0261,80.1538,4,2,4,87.6,71.9,77.7,87.1,82.5,79.8
13.0812,80.2454,22,4,5,51.7,86.1,61.5,65.5,97.4,46.2
13.058,80.2875,20,0,5,70.1,68.1,67.2,80.5,90.3,98.0
13.0228,80.2945,4,1,3,76.7,68.1,81.2,83.2,90.3,79.4
13.103,80.2885,8,0,4,67.5,68.1,57.9,52.0,90.3,98.0
12.9849,80.1769,14,3,4,62.4,85.8,91.4,54.6,89.6,73.0
13.023,80.2099,2,0,3,71.0,93.8,81.2,83.2,95.9,90.1
13.0416,80.2217,5,3,4,63.4,93.8,74.1,87.9,97.2,74.9
13.064,80.3109,16,2,5,85.5,62.7,67.2,80.5,85.3,98.0
13.1463,80.2058,20,2,3,81.8,93.8,61.0,63.7,95.9,89.4
12.9999,80.1921,7,0,2,67.3,89.6,87.3,69.3,92.0,98.0
13.0786,80.3415,20,4,5,88.2,64.8,61.5,65.5,79.5,78.1
13.0981,80.1518,10,0,4,73.4,71.9,57.9,52.0,82.5,98.0
12.9616,80.3496,5,4,5,53.4,68.0,93.0,48.0,78.4,63.8
13.1019,80.2854,7,0,4,69.6,68.1,57.9,52.0,90.3,98.0
